EqpID,ModuleName,E10State,StatusCode,ProcessStatus,PutTime
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 01:32:59"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 01:33:07"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 01:33:16"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 01:33:38"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 01:33:47"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 01:36:07"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 01:36:16"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 01:36:27"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 01:36:36"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 01:36:37"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 01:36:54"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 01:38:56"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 01:39:06"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 01:39:17"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 01:39:33"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 01:39:52"
"Z2-BT02","WAD 2","PRD",1,"ProcessStart","2020-08-06 01:40:01"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 01:41:27"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 01:41:38"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 01:42:23"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 01:42:33"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 01:44:04"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 01:45:23"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 01:45:40"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 01:45:46"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 01:45:55"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 01:46:54"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 01:47:03"
"Z2-BT02","WAD 2","PRD",0,"ProcessEnd","2020-08-06 01:48:22"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 01:48:32"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 01:48:36"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 01:48:43"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 01:48:51"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 01:48:52"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 01:49:43"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 01:49:53"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 01:51:42"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 01:51:52"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 01:53:08"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 01:54:42"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 01:54:59"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 01:55:58"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 01:56:07"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 01:56:33"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 01:56:43"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 01:57:12"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 01:57:22"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 01:57:49"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 01:57:58"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 01:58:48"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 01:58:57"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 01:59:23"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 01:59:39"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 01:59:43"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:02:30"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:02:33"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:02:39"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:02:42"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:04:26"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:05:23"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:05:30"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 02:05:34"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:05:46"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 02:05:53"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:06:02"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 02:06:18"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:06:29"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:07:16"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:07:26"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:08:37"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:08:43"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 02:08:46"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:08:58"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:10:06"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 02:10:16"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:11:49"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:11:58"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 02:12:14"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:12:23"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:13:52"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:14:49"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:15:03"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:15:06"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:15:20"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:16:42"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:16:52"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 02:17:03"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 02:17:06"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:17:12"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:17:16"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:17:56"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 02:18:05"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:18:16"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:18:25"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:18:35"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:19:32"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 02:19:42"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:19:52"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:20:08"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:21:15"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:21:25"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:21:32"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:21:35"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:21:58"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:22:59"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:23:09"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:24:15"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:24:23"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 02:24:26"
"Z2-BT02","WAD 2","PRD",1,"ProcessStart","2020-08-06 02:24:32"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:24:48"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:24:57"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:25:51"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:25:59"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:26:16"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 02:26:22"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 02:26:27"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:26:31"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:26:38"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:27:37"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 02:27:47"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:28:41"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:28:50"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:29:06"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:29:11"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 02:29:15"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:29:27"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:29:44"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 02:31:06"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:31:15"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:31:30"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 02:31:41"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:32:01"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:32:11"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:32:34"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:32:44"
"Z2-BT02","WAD 2","PRD",0,"ProcessEnd","2020-08-06 02:33:03"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:33:04"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:33:13"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:33:56"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:34:12"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 02:34:27"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:34:37"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:34:51"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 02:35:00"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:35:34"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:35:50"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:35:54"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:36:04"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:36:47"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:37:02"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:37:12"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:37:17"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:37:33"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 02:37:35"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:37:46"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 02:38:22"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:38:31"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:38:41"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:38:44"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 02:38:50"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 02:38:55"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:39:37"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:39:47"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:40:02"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:40:19"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:40:19"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:40:29"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:40:39"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:41:11"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:41:28"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 02:41:41"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:41:50"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:42:27"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 02:42:36"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:43:09"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:43:12"
"Z2-BT02","WAD 2","PRD",1,"ProcessStart","2020-08-06 02:43:19"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:43:19"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:43:31"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:43:47"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:44:18"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:44:27"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:44:31"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:44:47"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 02:45:35"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:45:44"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:45:59"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 02:46:10"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:46:38"
"Z2-BT02","WAD3","PRD",1,"ProcessStart","2020-08-06 02:46:48"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 02:47:10"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:47:21"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:47:33"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:47:50"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:48:00"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:48:10"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:48:25"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:48:29"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:48:45"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 02:49:17"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:49:26"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:50:40"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 02:50:49"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:51:01"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:51:15"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:51:18"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:51:25"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:51:35"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:51:45"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:51:46"
"Z2-BT02","WAD 2","PRD",0,"ProcessEnd","2020-08-06 02:52:04"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:52:06"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:52:13"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:52:22"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 02:52:50"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:53:00"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:54:05"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:54:08"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 02:54:14"
"Z2-BT02","WAD 2","PRD",1,"ProcessStart","2020-08-06 02:54:18"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:54:35"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:54:36"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:54:45"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:54:52"
"Z2-BT02","WAD3","PRD",0,"ProcessEnd","2020-08-06 02:55:08"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:55:17"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:55:31"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:55:40"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:55:40"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:55:59"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:56:15"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:57:26"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 02:57:37"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:57:42"
"Z2-BT02","WAD3","PRD",1,"ProcessStart","2020-08-06 02:57:52"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:58:30"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:58:30"
